AnimalID,features_values_dog,gp1,gp2
A671945,Shetland Sheepdog Mix,Mix,Herding
A686464,Pit Bull Mix,Mix,Pit Bull
A667013,Lhasa Apso/Miniature Poodle,Non-Sporting,Non-Sporting
A677334,Cairn Terrier/Chihuahua Shorthair,Toy,Terrier
A671784,American Pit Bull Terrier Mix,Unknown,Mix
A677747,Cairn Terrier,Terrier,Terrier
A666320,Miniature Schnauzer Mix,Mix,Terrier
A684601,Pit Bull Mix,Mix,Pit Bull
A704702,Yorkshire Terrier Mix,Mix,Toy
A688584,Great Pyrenees Mix,Mix,Working
A680028,Pit Bull Mix,Mix,Pit Bull
A684787,Flat Coat Retriever Mix,Mix,Sporting
A670658,Queensland Heeler Mix,Mix,Herding
A705262,Plott Hound/Boxer,Hound,Working
A665781,German Shepherd Mix,Mix,Herding
A676333,German Shepherd Mix,Mix,Herding
A718832,American Staffordshire Terrier Mix,Mix,Terrier
A698777,Chihuahua Shorthair Mix,Mix,Toy
A707341,Labrador Retriever Mix,Mix,Sporting
A666825,Collie Smooth/German Shepherd,Herding,Herding
A699723,Chihuahua Shorthair Mix,Mix,Toy
A668626,Labrador Retriever Mix,Mix,Sporting
A657085,Pit Bull Mix,Mix,Pit Bull
A686716,Beagle,Hound,Hound
A697852,German Shepherd Mix,Mix,Herding
A666092,Pit Bull/Labrador Retriever,Pit Bull,Sporting
A701627,Blue Lacy Mix,Mix,Herding
A683443,Chihuahua Shorthair Mix,Mix,Toy
A597644,Black Mouth Cur Mix,Mix,Herding
A682784,Dachshund/Beagle,Hound,Hound
A678506,Yorkshire Terrier Mix,Mix,Toy
A712236,Dachshund Mix,Mix,Hound
A714740,Maltese Mix,Mix,Toy
A691847,Pointer Mix,Mix,Sporting
A711392,English Foxhound,Hound,Hound
A678172,Chihuahua Shorthair Mix,Mix,Toy
A676736,Vizsla Mix,Mix,Sporting
A701575,Pit Bull Mix,Mix,Pit Bull
A674913,German Shepherd/Great Pyrenees,Herding,Working
A669540,Yorkshire Terrier Mix,Mix,Toy
A709371,Cardigan Welsh Corgi/Chihuahua Shorthair,Herding,Toy
A704179,Chow Chow/Pit Bull,Non-Sporting,Pit Bull
A700740,Chihuahua Shorthair,Toy,Toy
A691838,Pit Bull Mix,Mix,Pit Bull
A687789,Dachshund/Beagle,Hound,Hound
A677594,Labrador Retriever Mix,Mix,Sporting
A717147,Plott Hound Mix,Mix,Hound
A687012,Boxer/Great Dane,Working,Working
A676200,Lhasa Apso,Non-Sporting,Non-Sporting
A676680,German Shepherd Mix,Mix,Herding
A715261,Beagle/Treeing Walker Coonhound,Hound,Hound
A717008,Border Collie Mix,Mix,Herding
A695155,Border Terrier Mix,Mix,Terrier
A679721,Chihuahua Shorthair Mix,Mix,Toy
A719113,Boxer Mix,Mix,Working
A699990,Cairn Terrier Mix,Mix,Terrier
A668362,Chihuahua Shorthair Mix,Mix,Toy
A674577,Dogo Argentino Mix,Unknown,Mix
A674802,Dachshund Mix,Mix,Hound
A672410,Beagle Mix,Mix,Hound
A657753,Chihuahua Shorthair/Dachshund,Hound,Toy
A663339,Pit Bull Mix,Mix,Pit Bull
A698694,Pit Bull Mix,Mix,Pit Bull
A674233,Chihuahua Shorthair Mix,Mix,Toy
A713392,Chihuahua Shorthair Mix,Mix,Toy
A701428,Chihuahua Shorthair Mix,Mix,Toy
A676146,Dachshund Mix,Mix,Hound
A679259,Miniature Schnauzer/Miniature Poodle,Non-Sporting,Terrier
A688223,Labrador Retriever Mix,Mix,Sporting
A674530,Pit Bull,Pit Bull,Pit Bull
A718604,Pit Bull Mix,Mix,Pit Bull
A699094,Chihuahua Shorthair Mix,Mix,Toy
A394547,Labrador Retriever Mix,Mix,Sporting
A662685,Pit Bull Mix,Mix,Pit Bull
A707781,Chihuahua Shorthair/Jack Russell Terrier,Unknown,Toy
A694699,Chihuahua Shorthair Mix,Mix,Toy
A696350,Pit Bull,Pit Bull,Pit Bull
A698341,Tibetan Terrier Mix,Non-Sporting,Mix
A689601,Miniature Pinscher/Chihuahua Shorthair,Toy,Toy
A714494,Labrador Retriever Mix,Mix,Sporting
A688720,Dachshund Mix,Mix,Hound
A689690,Dachshund Mix,Mix,Hound
A702014,Blue Lacy Mix,Mix,Herding
A673626,Rat Terrier Mix,Mix,Terrier
A652097,Dachshund Longhair,Hound,Hound
A685180,Pit Bull Mix,Mix,Pit Bull
A707442,Pit Bull Mix,Mix,Pit Bull
A685452,Dachshund/Chihuahua Shorthair,Toy,Hound
A705924,Chihuahua Shorthair Mix,Mix,Toy
A716760,Border Collie Mix,Mix,Herding
A709048,Labrador Retriever Mix,Mix,Sporting
A719048,Maltese,Toy,Toy
A720668,Labrador Retriever Mix,Mix,Sporting
A708769,Chihuahua Shorthair Mix,Mix,Toy
A681462,Labrador Retriever/Rottweiler,Sporting,Working
A701153,Dachshund/Manchester Terrier,Hound,Terrier
A700707,Plott Hound/Labrador Retriever,Sporting,Hound
A702563,Chihuahua Shorthair/Rat Terrier,Toy,Terrier
A715729,Siberian Husky,Working,Working
A716575,Australian Cattle Dog Mix,Mix,Herding
A714462,Pointer Mix,Mix,Sporting
A717429,Pit Bull Mix,Mix,Pit Bull
A701999,Yorkshire Terrier/Miniature Poodle,Non-Sporting,Toy
A698066,German Shepherd Mix,Mix,Herding
A699715,Catahoula/Labrador Retriever,Herding,Sporting
A702246,Miniature Poodle Mix,Non-Sporting,Mix
A711918,Jack Russell Terrier/Pit Bull,Unknown,Pit Bull
